4
0.05 	 false 	 3
0 	 1 	 0
0.0005052 	 32 	 12
0.0946593 	 20000 	 7907
0.05 	 true 	 3
0 	 1 	 0
0.0009998 	 111 	 51
0.0909845 	 20000 	 7907
0.05 	 false 	 3
0 	 1 	 0
0.000991 	 309 	 140
0.0550123 	 20000 	 7907
0.05 	 true 	 3
0 	 1 	 0
0.0015061 	 25 	 8
0.0929503 	 20000 	 7907
0.1 	 false 	 3
0 	 1 	 0
0.0015051 	 60 	 23
0.0744042 	 20000 	 8956
0.1 	 true 	 4
0 	 1 	 0
0.0004603 	 13 	 2
0.1002462 	 19700 	 8830
0.1070318 	 20000 	 8956
0.5 	 false 	 3
0 	 1 	 0
0.0005205 	 301 	 231
0.0756761 	 20000 	 15603
0.5 	 true 	 4
0 	 1 	 0
0.0009965 	 273 	 217
0.1007996 	 16898 	 13241
0.1209859 	 20000 	 15603
